Tree Number,CWC,Intercept,Slope,MAE
2010,0.027398583058470198,0.08730172533233764,0.00018295038349619373,0.0014729694371747413
2382,0.0911207759999677,0.08563596548871903,0.00012841445628607013,0.0016765223709327534
2381,0.0014842554252216483,0.043126879064981825,0.00017376693058836814,0.0019919117832230384
2384,0.03121704843998313,0.0168170318512091,0.00019191194906957828,0.0014859140678721414
2383,0.05997870457155472,0.11441110966931138,0.00020785970684098946,0.002156631321337604
2011,0.05089883617525295,0.03608563673882677,0.000144048173274669,0.0013955367458442542
2367,0.06405119543343891,0.030275925306601708,0.00013397863991497478,0.0012980121479988379
2369,0.05023004930640829,0.05429334982990607,0.00014861468787601937,0.0013650754846116825
2366,0.04382984090572205,0.030609451532699224,0.00013888332407246604,0.0011016904311448778
2364,0.07411174554758541,0.05737943044473999,0.00016493950844284416,0.001412445104066474
2365,0.07411174554758541,0.05737943044473999,0.00016493950844284416,0.001412445104066474
2363,0.07193630894545239,0.0714186821727596,0.00015534121955213377,0.0012745853367552378
2362,0.0721007675923178,0.047327180197288536,0.0001303050968886751,0.0012398490919502533
2361,0.0721007675923178,0.047327180197288536,0.0001303050968886751,0.0012398490919502533
2360,0.0721007675923178,0.047327180197288536,0.0001303050968886751,0.0012398490919502533
2359,0.12325408355603931,0.024361555028971537,0.00014834999470837167,0.001386404511489993
2358,0.13254387270191098,0.03262549357900615,9.049331300705047e-05,0.0010869637951163192
2357,0.13254387270191098,0.03262549357900615,9.049331300705047e-05,0.0010869637951163192
2356,0.11227029636539809,0.02265430983322589,0.00013276657630798653,0.0012603861156428265
2355,0.11368827675225518,0.03132643983335848,0.00010879423765313639,0.0012519657931053026
2353,0.07083996740250349,0.026579443127564686,0.00018504340150282786,0.0013862202894995982
2352,0.10019525589806236,0.04097047303077426,0.0001998067621808772,0.0016753545018118382
2354,0.07162667579789275,0.027268260224879368,0.0001504274964532764,0.0015928500570700445
2377,0.09689377242713619,0.01849145398912841,0.00016553686538024683,0.0017535525847690444
2378,0.08084621633144239,0.0612531106172911,5.637776037727125e-05,0.0017135931171473706
2379,0.10002001912722781,0.07682600012422214,0.00011876803405222714,0.0016190033411085435
2380,0.07617300192768763,0.04556455415481377,0.00023112214126033272,0.0022547834559604575
2337,0.09821780631614081,0.06454117267305556,0.00016201823379799306,0.0018080512612665379
2339,0.09821780631614081,0.06454117267305556,0.00016201823379799306,0.0018080512612665379
2342,0.1480412605151562,0.08013981537007046,0.00010215677626113801,0.002029269924585951
2340,0.09821780631614081,0.06454117267305556,0.00016201823379799306,0.0018080512612665379
2338,0.05642127513343285,0.03190655645117998,0.00018126710532633206,0.0013577787480124098
2341,0.06526646662045082,0.0431415030373006,0.0001627492908500673,0.001417224021608832
2343,0.08013841644416597,0.027195996808361465,0.00014299226796612186,0.0013310581483206509
2344,0.0822009223867298,0.03721363403022161,0.00010996301781874383,0.0014257428865806047
2346,0.052210366206506896,0.016178663172126732,0.0001765013353451111,0.0011365450134975437
2347,0.06574294199725428,0.03204156888525135,0.00013634673521754765,0.0010858927337233201
2348,0.06574294199725428,0.03204156888525135,0.00013634673521754765,0.0010858927337233201
2349,0.11331854960215645,0.04976259709090843,0.0001382624986181414,0.0012026235372712697
2350,0.03139218118755066,0.020886442654720193,0.0002040339887959305,0.001350225382076978
2351,0.03139218118755066,0.020886442654720193,0.0002040339887959305,0.001350225382076978
2009,0.01935904925752707,4.921284246445638e-07,0.0002708995357919814,0.0013865856995038362
