Tree Number,CWC,Intercept,Slope,MAE
2010,0.499926546539794,0.0003019216521154685,-2.554056741736917e-07,8.69618931377063e-06
2382,0.499926546539794,0.0003019216521154685,-2.554056741736917e-07,8.69618931377063e-06
2381,0.499926546539794,0.0003019216521154685,-2.554056741736917e-07,8.69618931377063e-06
2384,0.499926546539794,0.0003019216521154685,-2.554056741736917e-07,8.69618931377063e-06
2383,0.499926546539794,0.0003019216521154685,-2.554056741736917e-07,8.69618931377063e-06
2011,0.499926546539794,0.0003019216521154685,-2.554056741736917e-07,8.69618931377063e-06
2367,0.499926546539794,0.0003019216521154685,-2.554056741736917e-07,8.69618931377063e-06
2369,0.499926546539794,0.0003019216521154685,-2.554056741736917e-07,8.69618931377063e-06
2366,0.499926546539794,0.0003019216521154685,-2.554056741736917e-07,8.69618931377063e-06
2364,0.499926546539794,0.0003019216521154685,-2.554056741736917e-07,8.69618931377063e-06
2365,0.499926546539794,0.0003019216521154685,-2.554056741736917e-07,8.69618931377063e-06
2363,0.499926546539794,0.0003019216521154685,-2.554056741736917e-07,8.69618931377063e-06
2362,0.499926546539794,0.0003019216521154685,-2.554056741736917e-07,8.69618931377063e-06
2361,0.499926546539794,0.0003019216521154685,-2.554056741736917e-07,8.69618931377063e-06
2360,0.499926546539794,0.0003019216521154685,-2.554056741736917e-07,8.69618931377063e-06
2359,0.499926546539794,0.0003019216521154685,-2.554056741736917e-07,8.69618931377063e-06
2358,0.499926546539794,0.0003019216521154685,-2.554056741736917e-07,8.69618931377063e-06
2357,0.499926546539794,0.0003019216521154685,-2.554056741736917e-07,8.69618931377063e-06
2356,0.499926546539794,0.0003019216521154685,-2.554056741736917e-07,8.69618931377063e-06
2355,0.499926546539794,0.0003019216521154685,-2.554056741736917e-07,8.69618931377063e-06
2353,0.499926546539794,0.0003019216521154685,-2.554056741736917e-07,8.69618931377063e-06
2352,0.499926546539794,0.0003019216521154685,-2.554056741736917e-07,8.69618931377063e-06
2354,0.499926546539794,0.0003019216521154685,-2.554056741736917e-07,8.69618931377063e-06
2377,0.499926546539794,0.0003019216521154685,-2.554056741736917e-07,8.69618931377063e-06
2378,0.499926546539794,0.0003019216521154685,-2.554056741736917e-07,8.69618931377063e-06
2379,0.499926546539794,0.0003019216521154685,-2.554056741736917e-07,8.69618931377063e-06
2380,0.499926546539794,0.0003019216521154685,-2.554056741736917e-07,8.69618931377063e-06
2337,0.499926546539794,0.0003019216521154685,-2.554056741736917e-07,8.69618931377063e-06
2339,0.499926546539794,0.0003019216521154685,-2.554056741736917e-07,8.69618931377063e-06
2342,0.499926546539794,0.0003019216521154685,-2.554056741736917e-07,8.69618931377063e-06
2340,0.499926546539794,0.0003019216521154685,-2.554056741736917e-07,8.69618931377063e-06
2338,0.499926546539794,0.0003019216521154685,-2.554056741736917e-07,8.69618931377063e-06
2341,0.499926546539794,0.0003019216521154685,-2.554056741736917e-07,8.69618931377063e-06
2343,0.499926546539794,0.0003019216521154685,-2.554056741736917e-07,8.69618931377063e-06
2344,0.499926546539794,0.0003019216521154685,-2.554056741736917e-07,8.69618931377063e-06
2346,0.499926546539794,0.0003019216521154685,-2.554056741736917e-07,8.69618931377063e-06
2347,0.499926546539794,0.0003019216521154685,-2.554056741736917e-07,8.69618931377063e-06
2348,0.499926546539794,0.0003019216521154685,-2.554056741736917e-07,8.69618931377063e-06
2349,0.499926546539794,0.0003019216521154685,-2.554056741736917e-07,8.69618931377063e-06
2350,0.499926546539794,0.0003019216521154685,-2.554056741736917e-07,8.69618931377063e-06
2351,0.499926546539794,0.0003019216521154685,-2.554056741736917e-07,8.69618931377063e-06
2009,0.499926546539794,0.0003019216521154685,-2.554056741736917e-07,8.69618931377063e-06
2375,0.499926546539794,0.0003019216521154685,-2.554056741736917e-07,8.69618931377063e-06
