,Time,Y (Mpa),(-1/Y),Mass (g),% fully hydrated mass,1-% fully hydrated,RWC,Spectrum #,Spectrum File,LWA (g/cm2),Water mass (g),Solute potential (MPa),Turgor pressure (MPa),ndvi,ndwi,ISOFIT_EWT_1,ISOFIT_EWT_2
0,2024-03-07 08:29:00.350,-0.18,5.555555555555555,0.4308,99.99999999999999,1.4210854715202004e-14,0.9981450679005748,0.0,20240307_00000,0.013256634854229312,0.2028,-2.207616907865602,2.027616907865602,0.8323882170066293,0.02926961435323793,0.06662250646302105,0.09722003886835606
1,2024-03-07 08:30:21.960,-0.28,3.571428571428571,0.429,99.58217270194986,0.41782729805014185,0.9892857921499778,1.0,20240307_00001,0.01313897241469473,0.20099999999999998,-2.247196657358381,1.9671966573583808,0.8322863272274206,0.02938071038124003,0.06566933766292303,0.09627420061713853
2,2024-03-07 08:31:55.320,-0.55,1.8181818181818181,0.428,99.35004642525533,0.6499535747446714,0.9843639722885351,2.0,20240307_00002,0.013073604392731074,0.19999999999999998,-2.2698048236569597,1.7198048236569596,0.8331468987150623,0.028954773472179875,0.06579852572552583,0.09587133149166195
3,2024-03-07 08:33:33.350,-0.9,1.1111111111111112,0.4269,99.09470752089136,0.9052924791086383,0.9789499704409482,3.0,20240307_00003,0.013001699568571055,0.1989,-2.2952051001597873,1.3952051001597874,0.8352003952759023,0.02825980477424419,0.06509256880999424,0.0947846815263599
4,2024-03-07 08:35:15.380,-1.08,0.9259259259259258,0.4257,98.81615598885793,1.183844011142071,0.9730437866072171,4.0,20240307_00004,0.01292325794221467,0.19770000000000001,-2.32357085935867,1.24357085935867,0.8376869945317287,0.030050262125880536,0.0669055572065094,0.09589241254466341
5,2024-03-07 08:37:02.820,-1.37,0.7299270072992701,0.4246,98.56081708449396,1.4391829155060378,0.96762978475963,5.0,20240307_00005,0.012851353118054645,0.19659999999999997,-2.350195784386815,0.9801957843868148,0.8403298492279618,0.028806653886066336,0.06650242518448848,0.09481360876550361
6,2024-03-07 08:43:35.330,-1.99,0.5025125628140703,0.4223,98.02692664809658,1.9730733519034231,0.956309599078312,6.0,20240307_00006,0.01270100666753824,0.1943,-2.407886188185548,0.417886188185548,0.8377381972879105,0.03087202271533403,0.0632562451158467,0.09415883734898285
7,2024-03-07 08:45:40.500,-2.1,0.47619047619047616,0.4212,97.7715877437326,2.2284122562674042,0.950895597230725,7.0,20240307_00007,0.01262910184337822,0.1932,-2.4364903402993807,0.33649034029938063,0.8406932878019582,0.028602402101314667,0.06200637019858093,0.09269176677350478
8,2024-03-07 08:47:36.540,-2.12,0.4716981132075471,0.4208,97.67873723305478,2.3212627669452246,0.948926869286148,8.0,20240307_00008,0.012602954634592756,0.1928,-2.4470610765908343,0.32706107659083417,0.8414511473932135,0.029476167143400196,0.06277172479856909,0.09333971316134779
9,2024-03-07 08:49:18.690,-2.14,0.4672897196261682,0.4202,97.53946146703807,2.460538532961934,0.9459737773692825,9.0,20240307_00009,0.012563733821414565,0.1922,-2.4630902872083413,0.3230902872083412,0.8438080077131255,0.028613599811071387,0.0633842112117657,0.09278092048585276
10,2024-03-07 08:53:40.430,-2.18,0.4587155963302752,0.4195,97.37697307335189,2.6230269266481088,0.9425285034662724,10.0,20240307_00010,0.012517976206040003,0.19149999999999998,-2.4820584875046396,0.3020584875046395,0.8495260924553882,0.02929526365063621,0.06538608928679819,0.09444652797235391
11,2024-03-07 09:20:03.570,-2.54,0.39370078740157477,0.4151,96.35561745589601,3.6443825441039905,0.9208724960759248,19.0,20240307_00019,0.012230356909399923,0.18710000000000002,-2.608317041337491,0.06831704133749117,0.8512502634376687,0.03202058667635502,0.06047268789804685,0.09337121060842127
12,2024-03-07 09:45:20.830,-2.78,0.3597122302158274,0.4107,95.33426183844011,4.6657381615598865,0.8992164886855769,30.0,20240307_00030,0.011942737612759838,0.1827,-2.7481091912861393,-0.03189080871386052,0.8516946579148945,0.031038875461817002,0.05957813467514166,0.09207683556280498
13,2024-03-07 10:02:09.870,-2.89,0.3460207612456747,0.4075,94.59145775301764,5.408542246982364,0.8834666651289602,34.0,20240307_00034,0.011733559942476138,0.17949999999999997,-2.8595695325497275,-0.03043046745027267,0.8530455218803107,0.030047754606622665,0.05846548672289363,0.09085915326077901
14,2024-03-07 10:18:08.560,-3.01,0.33222591362126247,0.405,94.01114206128133,5.988857938718667,0.8711621154753538,36.0,20240307_00036,0.011570139887567003,0.17700000000000002,-2.953144817596455,-0.05685518240354481,0.8543299544430092,0.02940214583996712,0.05906901943942065,0.09109892986773559
15,2024-03-07 10:39:38.080,-3.15,0.31746031746031744,0.4013,93.1522748375116,6.847725162488402,0.8529513819880157,40.0,20240307_00040,0.011328278206301477,0.17329999999999998,-3.1034474579981253,-0.04655254200187464,0.8553600219416169,0.02843416688532228,0.057968272321659436,0.08975328080473356
16,2024-03-07 11:12:06.290,-3.31,0.3021148036253776,0.3948,91.6434540389972,8.356545961002794,0.8209595528886383,53.0,20240307_00053,0.010903386063537716,0.16679999999999998,-3.408177832465857,0.09817783246585687,0.8546499006662884,0.027049549284727283,0.057455902287196534,0.0883703195342613
