,Time,Y (Mpa),(-1/Y),Mass (g),% fully hydrated mass,1-% fully hydrated,RWC,Spectrum #,Spectrum File,LWA (g/cm2),Water mass (g),Solute potential (MPa),Turgor pressure (MPa),ndvi,ndwi,ISOFIT_EWT_1,ISOFIT_EWT_2
0,2023-05-15 14:43:21.540,-0.102,9.803921568627452,0.2694,100.0,0.0,1.0037540015815758,0.0,20230515_00000,0.013139329805996471,0.13409999999999997,-2.7624563700358045,2.6604563700358046,0.8279158286062358,0.032713118874707424,0.058682385319886954,0.08006113191400613
1,2023-05-15 14:47:21.130,-0.283,3.53356890459364,0.2685,99.66592427616928,0.3340757238307219,0.9970173975441159,1.0,20230515_00001,0.01305114638447972,0.1332,-2.779479175913164,2.496479175913164,0.8275983321540936,0.032321310399679636,0.059524496681896764,0.07973280738517391
2,2023-05-15 14:50:34.520,-0.438,2.2831050228310503,0.2658,98.66369710467707,1.3363028953229303,0.976807585431735,2.0,20230515_00002,0.01278659611992945,0.13049999999999998,-2.831830077313817,2.393830077313817,0.835160865856273,0.035331821692001775,0.06124555666820053,0.08051276276793184
3,2023-05-15 14:54:06.890,-0.495,2.0202020202020203,0.264,97.99554565701561,2.0044543429843884,0.9633343773568147,3.0,20230515_00003,0.012610229276895944,0.1287,-2.867840185510961,2.372840185510961,0.8341842706018759,0.035111242969891245,0.06076509381697929,0.0797192543125475
4,2023-05-15 14:57:05.460,-0.514,1.9455252918287937,0.2634,97.77282850779513,2.2271714922048744,0.9588433079985079,4.0,20230515_00004,0.01255144032921811,0.12810000000000002,-2.8800479375077415,2.3660479375077417,0.8382107953560954,0.034738814919566895,0.06058587791162084,0.07979979564502862
5,2023-05-15 15:05:11.350,-0.75,1.3333333333333333,0.2601,96.5478841870824,3.4521158129175973,0.9341424265278202,5.0,20230515_00005,0.012228101116990006,0.1248,-2.9490928832257066,2.1990928832257066,0.8395404158655667,0.03390663768854357,0.05923606391890434,0.07853214509875481
6,2023-05-15 15:15:59.510,-1.119,0.8936550491510277,0.2565,95.21158129175949,4.788418708240513,0.9071960103779793,8.0,20230515_00008,0.011875367430922988,0.1212,-3.0282916531502964,1.9092916531502964,0.8409163433805297,0.03335099680046937,0.05833402365846048,0.07969497777446499
7,2023-05-15 15:22:54.450,-1.56,0.641025641025641,0.254,94.28359317000742,5.716406829992579,0.8884832213850341,10.0,20230515_00010,0.011630413482265334,0.1187,-3.0858410863092747,1.5258410863092746,0.8481845273108,0.03126377064400614,0.05823664262989986,0.07869216642725417
8,2023-05-15 15:30:56.730,-2.022,0.4945598417408507,0.2507,93.05864884929473,6.941351150705273,0.8637823399143464,12.0,20230515_00012,0.01130707427003723,0.11539999999999997,-3.165241756551437,1.1432417565514372,0.8460637905410121,0.031548644559565985,0.056066383937676274,0.07831825107858092
9,2023-05-15 15:39:54.820,-2.54,0.39370078740157477,0.2475,91.87082405345213,8.129175946547875,0.8398299700033768,14.0,20230515_00014,0.010993533215755438,0.1122,-3.2462384073964223,0.7062384073964223,0.8480297831256881,0.026600764283883662,0.05930215686333436,0.07586323238314926
10,2023-05-15 15:46:42.940,-2.894,0.3455425017277125,0.2452,91.01707498144025,8.982925018559754,0.8226142041298673,16.0,20230515_00016,0.010768175582990399,0.1099,-3.307063184394384,0.41306318439438394,0.8482080762882552,0.024713371256498196,0.05878406456868213,0.07490880342204968
11,2023-05-15 15:53:26.190,-3.18,0.31446540880503143,0.2424,89.97772828507797,10.022271714922027,0.8016558804577688,18.0,20230515_00018,0.010493827160493827,0.1071,-3.3842590257219176,0.20425902572191745,0.8472335404822035,0.02494509148352455,0.05792887252397299,0.07380112366375043
12,2023-05-15 16:01:07.760,-3.34,0.29940119760479045,0.2387,88.60430586488494,11.395694135115065,0.77396095274821,20.0,20230515_00020,0.010131295316480502,0.10339999999999999,-3.491971447077853,0.15197144707785304,0.8522328050049738,0.02506290908822202,0.05782993203998047,0.07334854907927989
13,2023-05-15 16:14:57.920,-3.68,0.2717391304347826,0.2334,86.63697104677061,13.363028953229389,0.7342898400831663,22.0,20230515_00022,0.009611992945326279,0.09809999999999999,-3.6587777142279525,-0.021222285772047655,0.849637792021634,0.023992319385087724,0.05415989182653679,0.07157729323367222
14,2023-05-15 16:28:23.590,-3.873,0.2581977794990963,0.2273,84.37268002969563,15.62731997030437,0.6886306349403803,24.0,20230515_00024,0.009014305310601607,0.092,-3.8716357947750235,-0.0013642052249767112,0.8567134625481443,0.023320990984030024,0.05584331151458361,0.07147267251565663
15,2023-05-15 16:37:53.120,-3.95,0.2531645569620253,0.2231,82.8136599851522,17.1863400148478,0.6571931494322324,26.0,20230515_00026,0.008602782676856751,0.08779999999999999,-4.033191544818667,0.08319154481866686,0.8531680890746153,0.02254747724487694,0.052389284303694036,0.06862297284165562
16,2023-05-15 16:50:47.310,-4.284,0.2334267040149393,0.2186,81.14328136599852,18.85671863400148,0.6235101292449312,28.0,20230515_00028,0.008161865569272975,0.08329999999999999,-4.221949007338134,-0.062050992661865756,0.8531263499268268,0.02233191827500521,0.05199335147406858,0.0682421068156975
17,2023-05-15 17:07:27.430,-4.456,0.22441651705565527,0.2136,79.28730512249444,20.712694877505555,0.5860845512590411,30.0,20230515_00030,0.007671957671957673,0.07830000000000001,-4.453538012131185,-0.002461987868815463,0.8515499973567339,0.020965154590174413,0.05006045958581949,0.06557648728746285
